identifier	name	definition	synonyms	alts	parents	species
CECILL-2.0	CeCILL Free Software License Agreement v2.0				spdx.term:ListedLicense	
CECILL-2.1	CeCILL Free Software License Agreement v2.1				spdx.term:ListedLicense	
CECILL-B	CeCILL-B Free Software License Agreement				spdx.term:ListedLicense	
CECILL-C	CeCILL-C Free Software License Agreement				spdx.term:ListedLicense	
CERN-OHL-1.1	CERN Open Hardware Licence v1.1				spdx.term:ListedLicense	
CERN-OHL-1.2	CERN Open Hardware Licence v1.2				spdx.term:ListedLicense	
CERN-OHL-P-2.0	CERN Open Hardware Licence Version 2 - Permissive				spdx.term:ListedLicense	
CERN-OHL-S-2.0	CERN Open Hardware Licence Version 2 - Strongly Reciprocal				spdx.term:ListedLicense	
CERN-OHL-W-2.0	CERN Open Hardware Licence Version 2 - Weakly Reciprocal				spdx.term:ListedLicense	
CFITSIO	CFITSIO License				spdx.term:ListedLicense	
CMU-Mach	CMU Mach License				spdx.term:ListedLicense	
CMU-Mach-nodoc	CMU    Mach - no notices-in-documentation variant				spdx.term:ListedLicense	
CNRI-Jython	CNRI Jython License				spdx.term:ListedLicense	
CNRI-Python	CNRI Python License				spdx.term:ListedLicense	
CNRI-Python-GPL-Compatible	CNRI Python Open Source GPL Compatible License Agreement				spdx.term:ListedLicense	
COIL-1.0	Copyfree Open Innovation License				spdx.term:ListedLicense	
CPAL-1.0	Common Public Attribution License 1.0				spdx.term:ListedLicense	
CPL-1.0	Common Public License 1.0				spdx.term:ListedLicense	
CPOL-1.02	Code Project Open License 1.02				spdx.term:ListedLicense	
CUA-OPL-1.0	CUA Office Public License v1.0				spdx.term:ListedLicense	
Caldera	Caldera License				spdx.term:ListedLicense	
Caldera-no-preamble	Caldera License (without preamble)				spdx.term:ListedLicense	
Catharon	Catharon License				spdx.term:ListedLicense	
ClArtistic	Clarified Artistic License				spdx.term:ListedLicense	
Clips	Clips License				spdx.term:ListedLicense	
Community-Spec-1.0	Community Specification License 1.0				spdx.term:ListedLicense	
Condor-1.1	Condor Public License v1.1				spdx.term:ListedLicense	
Cornell-Lossless-JPEG	Cornell Lossless JPEG License				spdx.term:ListedLicense	
Cronyx	Cronyx License				spdx.term:ListedLicense	
Crossword	Crossword License				spdx.term:ListedLicense	
CryptoSwift	CryptoSwift License				spdx.term:ListedLicense	
CrystalStacker	CrystalStacker License				spdx.term:ListedLicense	
Cube	Cube License				spdx.term:ListedLicense	
D-FSL-1.0	Deutsche Freie Software Lizenz				spdx.term:ListedLicense	
DEC-3-Clause	DEC 3-Clause License				spdx.term:ListedLicense	
DL-DE-BY-2.0	Data licence Germany – attribution – version 2.0				spdx.term:ListedLicense	
DL-DE-ZERO-2.0	Data licence Germany – zero – version 2.0				spdx.term:ListedLicense	
DOC	DOC License				spdx.term:ListedLicense	
DRL-1.0	Detection Rule License 1.0				spdx.term:ListedLicense	
DRL-1.1	Detection Rule License 1.1				spdx.term:ListedLicense	
DSDP	DSDP License				spdx.term:ListedLicense	
DocBook-DTD	DocBook DTD License				spdx.term:ListedLicense	
DocBook-Schema	DocBook Schema License				spdx.term:ListedLicense	
DocBook-Stylesheet	DocBook Stylesheet License				spdx.term:ListedLicense	
DocBook-XML	DocBook XML License				spdx.term:ListedLicense	
