identifier	name	definition	synonyms	alts	parents	species
39130	HNRNPA1P12	heterogeneous nuclear ribonucleoprotein A1 pseudogene 12			so:0000336	ncbitaxon:9606
39131	HNRNPA1P13	heterogeneous nuclear ribonucleoprotein A1 pseudogene 13			so:0000336	ncbitaxon:9606
39132	HNRNPA1P14	heterogeneous nuclear ribonucleoprotein A1 pseudogene 14			so:0000336	ncbitaxon:9606
39133	HNRNPA1P15	heterogeneous nuclear ribonucleoprotein A1 pseudogene 15			so:0000336	ncbitaxon:9606
39134	HNRNPA1P16	heterogeneous nuclear ribonucleoprotein A1 pseudogene 16			so:0000336	ncbitaxon:9606
39135	HNRNPA1P17	heterogeneous nuclear ribonucleoprotein A1 pseudogene 17			so:0000336	ncbitaxon:9606
39136	LDHBP3	lactate dehydrogenase B pseudogene 3			so:0000336	ncbitaxon:9606
39137	MEP1AP3	meprin A subunit alpha pseudogene 3	meprin A, alpha pseudogene 3		so:0000336	ncbitaxon:9606
39138	MEP1AP4	meprin A subunit alpha pseudogene 4	meprin A, alpha pseudogene 4		so:0000336	ncbitaxon:9606
3914	FRA6C	fragile site, aphidicolin type, common, fra(6)(p22.2)			so:0002349	ncbitaxon:9606
39141	MLLT10P2	MLLT10 pseudogene 2	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 pseudogene 2|myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10 pseudogene 2		so:0000336	ncbitaxon:9606
39144	PGDP2	phosphogluconate dehydrogenase pseudogene 2			so:0000336	ncbitaxon:9606
3915	FRA6D	fragile site, BrdU type, common, fra(6)(q13)			so:0002349	ncbitaxon:9606
3916	FRA6E	fragile site, aphidicolin type, common, fra(6)(q26)			so:0002349	ncbitaxon:9606
39163	RIMKLBP2	ribosomal modification protein rimK like family member B pseudogene 2			so:0000336	ncbitaxon:9606
39164	ENTR1P2	ENTR1 pseudogene 2	SDCCAG3P2|serologically defined colon cancer antigen 3 pseudogene 2		so:0000336	ncbitaxon:9606
39166	TPM3P3	tropomyosin 3 pseudogene 3			so:0000336	ncbitaxon:9606
39167	TPM3P4	tropomyosin 3 pseudogene 4			so:0000336	ncbitaxon:9606
39168	TPM3P5	tropomyosin 3 pseudogene 5			so:0000336	ncbitaxon:9606
39169	TPM3P6	tropomyosin 3 pseudogene 6			so:0000336	ncbitaxon:9606
3917	FRA6F	fragile site, aphidicolin type, common, fra(6)(q21)			so:0002349	ncbitaxon:9606
39170	TPM3P7	tropomyosin 3 pseudogene 7			so:0000336	ncbitaxon:9606
39171	TPM3P8	tropomyosin 3 pseudogene 8			so:0000336	ncbitaxon:9606
39172	UQCRFS1P2	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 2			so:0000336	ncbitaxon:9606
39173	UQCRFS1P3	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 3			so:0000336	ncbitaxon:9606
39174	HMGB2P1	high mobility group box 2 pseudogene 1	high-mobility group box 2 pseudogene 1		so:0000336	ncbitaxon:9606
39175	HMGB1P35	high mobility group box 1 pseudogene 35	high-mobility group box 1 pseudogene 35		so:0000336	ncbitaxon:9606
39176	HMGB1P36	high mobility group box 1 pseudogene 36	high-mobility group box 1 pseudogene 36		so:0000336	ncbitaxon:9606
39177	CCNG1P1	cyclin G1 pseudogene 1			so:0000336	ncbitaxon:9606
39178	CCNT2P1	cyclin T2 pseudogene 1			so:0000336	ncbitaxon:9606
