text	curie	name	predicate	type	provenance	source
donor number DN (misnomer)	goldbook:08164	donicity	oboInOwl:hasRelatedSynonym			goldbook
donicity	goldbook:08164	donicity	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
dynamic NMR	goldbook:08165	dynamic NMR	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
electron pushing	goldbook:08166	electron pushing	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
electrophilic substitution	goldbook:08167	electrophilic substitution	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
EXSY	goldbook:08168	NMR exchange spectroscopy	oboInOwl:hasRelatedSynonym			goldbook
NMR exchange spectroscopy	goldbook:08168	NMR exchange spectroscopy	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
formal charge	goldbook:08169	formal charge	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
frustrated Lewis acid-base pair	goldbook:08170	frustrated Lewis acid-base pair	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
Gaussian orbital	goldbook:08171	Gaussian orbital	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
graphene	goldbook:08172	graphene	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
halogen bond	goldbook:08173	halogen bond	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
hapticity	goldbook:08174	hapticity	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
hydrogen-bond acceptor solvent	goldbook:08175	HBA solvent	oboInOwl:hasRelatedSynonym			goldbook
protophilic solvent	goldbook:08175	HBA solvent	oboInOwl:hasRelatedSynonym			goldbook
HBA solvent	goldbook:08175	HBA solvent	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
dipolar HBD solvent	goldbook:08176	HBD solvent	oboInOwl:hasRelatedSynonym			goldbook
hydrogen-bond donating solvent	goldbook:08176	HBD solvent	oboInOwl:hasRelatedSynonym			goldbook
protic solvent	goldbook:08176	HBD solvent	oboInOwl:hasRelatedSynonym			goldbook
HBD solvent	goldbook:08176	HBD solvent	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
high-throughput screening	goldbook:08177	high-throughput screening	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
Huisgen reaction	goldbook:08178	Huisgen reaction	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
hydronation	goldbook:08179	hydronation	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
ionic solvent	goldbook:08180	ionic liquid	oboInOwl:hasRelatedSynonym			goldbook
molten salt	goldbook:08180	ionic liquid	oboInOwl:hasRelatedSynonym			goldbook
ionic liquid	goldbook:08180	ionic liquid	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
keto-enol tautomerization	goldbook:08181	keto-enol tautomerization	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
Laurence solvent parameters	goldbook:08182	Laurence solvent parameters	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
Leffler’s assumption	goldbook:08183	Leffler’s relation	oboInOwl:hasRelatedSynonym			goldbook
Leffler’s relation	goldbook:08183	Leffler’s relation	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
mass action, law of	goldbook:08184	mass action, law of	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
Mayr–Patz equation	goldbook:08185	Mayr–Patz equation	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
minimum structural change, principle of	goldbook:08186	minimum structural change, principle of	rdfs:label		doi:10.1515/pac-2018-1010	goldbook
