text	curie	name	predicate	source
DOC License	spdx:DOC	DOC License	rdfs:label	spdx
Detection Rule License 1.0	spdx:DRL-1.0	Detection Rule License 1.0	rdfs:label	spdx
Detection Rule License 1.1	spdx:DRL-1.1	Detection Rule License 1.1	rdfs:label	spdx
DSDP License	spdx:DSDP	DSDP License	rdfs:label	spdx
DocBook DTD License	spdx:DocBook-DTD	DocBook DTD License	rdfs:label	spdx
DocBook Schema License	spdx:DocBook-Schema	DocBook Schema License	rdfs:label	spdx
DocBook Stylesheet License	spdx:DocBook-Stylesheet	DocBook Stylesheet License	rdfs:label	spdx
DocBook XML License	spdx:DocBook-XML	DocBook XML License	rdfs:label	spdx
Dotseqn License	spdx:Dotseqn	Dotseqn License	rdfs:label	spdx
Educational Community License v1.0	spdx:ECL-1.0	Educational Community License v1.0	rdfs:label	spdx
Educational Community License v2.0	spdx:ECL-2.0	Educational Community License v2.0	rdfs:label	spdx
Eiffel Forum License v1.0	spdx:EFL-1.0	Eiffel Forum License v1.0	rdfs:label	spdx
Eiffel Forum License v2.0	spdx:EFL-2.0	Eiffel Forum License v2.0	rdfs:label	spdx
EPICS Open License	spdx:EPICS	EPICS Open License	rdfs:label	spdx
Eclipse Public License 1.0	spdx:EPL-1.0	Eclipse Public License 1.0	rdfs:label	spdx
Eclipse Public License 2.0	spdx:EPL-2.0	Eclipse Public License 2.0	rdfs:label	spdx
EU DataGrid Software License	spdx:EUDatagrid	EU DataGrid Software License	rdfs:label	spdx
European Union Public License 1.0	spdx:EUPL-1.0	European Union Public License 1.0	rdfs:label	spdx
European Union Public License 1.1	spdx:EUPL-1.1	European Union Public License 1.1	rdfs:label	spdx
European Union Public License 1.2	spdx:EUPL-1.2	European Union Public License 1.2	rdfs:label	spdx
Elastic License 2.0	spdx:Elastic-2.0	Elastic License 2.0	rdfs:label	spdx
Entessa Public License v1.0	spdx:Entessa	Entessa Public License v1.0	rdfs:label	spdx
Erlang Public License v1.1	spdx:ErlPL-1.1	Erlang Public License v1.1	rdfs:label	spdx
Eurosym License	spdx:Eurosym	Eurosym License	rdfs:label	spdx
Fuzzy Bitmap License	spdx:FBM	Fuzzy Bitmap License	rdfs:label	spdx
Fraunhofer FDK AAC Codec Library	spdx:FDK-AAC	Fraunhofer FDK AAC Codec Library	rdfs:label	spdx
FSF All Permissive License	spdx:FSFAP	FSF All Permissive License	rdfs:label	spdx
FSF All Permissive License (without Warranty)	spdx:FSFAP-no-warranty-disclaimer	FSF All Permissive License (without Warranty)	rdfs:label	spdx
FSF Unlimited License	spdx:FSFUL	FSF Unlimited License	rdfs:label	spdx
FSF Unlimited License (with License Retention)	spdx:FSFULLR	FSF Unlimited License (with License Retention)	rdfs:label	spdx
FSF Unlimited License (with License Retention and Short Disclaimer)	spdx:FSFULLRSD	FSF Unlimited License (with License Retention and Short Disclaimer)	rdfs:label	spdx
FSF Unlimited License (With License Retention and Warranty Disclaimer)	spdx:FSFULLRWD	FSF Unlimited License (With License Retention and Warranty Disclaimer)	rdfs:label	spdx
